date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:04	91636/91636	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/index.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/index.html	(from )
23:10:05	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202024%2006:10:05%20GMT	https://devsaidul.com/robots.txt		(from )
23:10:06	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202024%2006:10:05%20GMT	https://devsaidul.com/apple-touch-icon.png	C:/My%20Web%20Sites/cyber/devsaidul.com/apple-touch-icon.png	(from https://devsaidul.com/html3/new/index.html)
23:10:06	691/691	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/favicons/favicon-32x32.png	(from https://devsaidul.com/html3/new/index.html)
23:10:06	415/415	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/favicons/favicon-16x16.png	(from https://devsaidul.com/html3/new/index.html)
23:10:07	232803/232803	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/bootstrap.min.css	(from https://devsaidul.com/html3/new/index.html)
23:10:07	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%22660cc074-5556%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	C:/My%20Web%20Sites/cyber/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	(from https://devsaidul.com/html3/new/index.html)
23:10:07	33961/33961	---M-Z	200	added ('OK')	text/css	etag:%225ee0cbd8-84a9%22	https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.5.0/css/flag-icon.min.css	C:/My%20Web%20Sites/cyber/cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.5.0/css/flag-icon.min.css	(from https://devsaidul.com/html3/new/index.html)
23:10:08	24794/24794	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/swiper.min.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/swiper.min.css	(from https://devsaidul.com/html3/new/index.html)
23:10:09	7175/7175	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/magnific-popup.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/magnific-popup.css	(from https://devsaidul.com/html3/new/index.html)
23:10:09	58889/58889	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/common.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/common.css	(from https://devsaidul.com/html3/new/index.html)
23:10:09	11766/11766	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/nav-1.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/nav-1.css	(from https://devsaidul.com/html3/new/index.html)
23:10:10	5930/5930	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/footer-1.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/footer-1.css	(from https://devsaidul.com/html3/new/index.html)
23:10:10	25596/25596	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/css/home-1.css	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/css/home-1.css	(from https://devsaidul.com/html3/new/index.html)
23:10:10	3373/3373	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/logo.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/logo.png	(from https://devsaidul.com/html3/new/index.html)
23:10:11	65198/65198	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/home-2.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/home-2.html	(from https://devsaidul.com/html3/new/index.html)
23:10:11	104555/104555	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/home-3.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/home-3.html	(from https://devsaidul.com/html3/new/index.html)
23:10:12	61495/61495	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/about-us.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/about-us.html	(from https://devsaidul.com/html3/new/index.html)
23:10:12	71725/71725	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/blog-standard.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/blog-standard.html	(from https://devsaidul.com/html3/new/index.html)
23:10:12	44812/44812	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/blog-grid.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/blog-grid.html	(from https://devsaidul.com/html3/new/index.html)
23:10:12	90183/90183	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/blog-details.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/blog-details.html	(from https://devsaidul.com/html3/new/index.html)
23:10:13	49032/49032	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/pricing-plan.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/pricing-plan.html	(from https://devsaidul.com/html3/new/index.html)
23:10:13	41072/41072	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/project-grid.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/project-grid.html	(from https://devsaidul.com/html3/new/index.html)
23:10:14	48673/48673	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/project-details.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/project-details.html	(from https://devsaidul.com/html3/new/index.html)
23:10:14	48321/48321	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/service.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/service.html	(from https://devsaidul.com/html3/new/index.html)
23:10:14	56257/56257	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/service-details.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/service-details.html	(from https://devsaidul.com/html3/new/index.html)
23:10:14	70667/70667	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/team.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/team.html	(from https://devsaidul.com/html3/new/index.html)
23:10:15	45389/45389	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/team-details.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/team-details.html	(from https://devsaidul.com/html3/new/index.html)
23:10:15	62136/62136	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/contact.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/contact.html	(from https://devsaidul.com/html3/new/index.html)
23:10:15	49358/49358	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/faq.html	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/faq.html	(from https://devsaidul.com/html3/new/index.html)
23:10:16	917/917	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/product-development.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/product-development.png	(from https://devsaidul.com/html3/new/index.html)
23:10:16	2769/2769	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/nanotechnology.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/nanotechnology.png	(from https://devsaidul.com/html3/new/index.html)
23:10:17	194726/194726	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/about-1.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/about-1.png	(from https://devsaidul.com/html3/new/index.html)
23:10:17	216572/216572	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/about-2.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/about-2.png	(from https://devsaidul.com/html3/new/index.html)
23:10:18	592/592	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/web-browser.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/web-browser.png	(from https://devsaidul.com/html3/new/index.html)
23:10:18	844/844	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/web-content.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/web-content.png	(from https://devsaidul.com/html3/new/index.html)
23:10:19	851/851	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/optimization.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/optimization.png	(from https://devsaidul.com/html3/new/index.html)
23:10:19	58794/58794	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/business-partner.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/business-partner.png	(from https://devsaidul.com/html3/new/index.html)
23:10:20	157181/157181	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/latest-project-item-2.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/latest-project-item-2.png	(from https://devsaidul.com/html3/new/index.html)
23:10:20	153281/153281	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2020:22:38%20GMT	https://devsaidul.com/html3/new/assets/images/home-1/latest-project-item-1.png	C:/My%20Web%20Sites/cyber/devsaidul.com/html3/new/assets/images/home-1/latest-project-item-1.png	(from https://devsaidul.com/html3/new/index.html)
